name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
ALLEN Overseas (Al Nahda Center),Bin Shabib Mall - Ground Floor - Baghdad Street - Al Qusais - Al Qusais Ind. First - Dubai - United Arab Emirates,allenoverseas.com,+971 54 204 1045,203,4.8,Coaching Center, · Opens 11am
Lutas Coaching Dubai,,lutascoaching.com,+971 55 243 6188,38,4.9,Education center, · Opens 10am Mon
iXCEL,Boulevard Plaza - Level 23 - 2 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,ixcel.org,+971 4 407 3090,31,4.7,Educational institution, · Opens 8am
Certified Tutors,,certifiedtutors.org,+971 58 584 8849,20,5.0,Tutoring service,
Expert Teacher,,expertteacher.ae,+971 54 532 1756,39,4.9,Tutoring service,
AIMS ACADEMY,"Al Ahli House C - 403, 4th Floor - Al Nahda Second - Al Nahda - Dubai - United Arab Emirates",reachaims.com,090368 36677,503,4.9,Education center, · Opens 9:30am
"Indian Institute of Commerce, Lakshya","Metro Station Exit, The Tower Plaza - Offices Emirates Tower - 1103 - 2 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates",lakshyacommerce.ae,+971 56 863 1499,220,4.5,Educational institution, · Opens 9:30am
Cambridge Educational Institute,"Room 902, Exchange tower - شارع الشيخ خليفة بن زايد - Dubai - United Arab Emirates",cambridgeeducation.net,+971 56 506 8596,2034,4.6,Educational institution, · Opens 9am Mon
Valley of Experts Training Institute,"Garhoud Community Building - Office Number 203, 2nd Floor - 2nd St - Al Garhoud - Dubai - United Arab Emirates",voe.ae,+971 4 331 0479,82,4.8,Learning center, · Opens 7:30am
Explore Educational Institute-Pearson Approved Center,"Building, Al Nasr Plaza - 10th Street, Campus 510-512 - Dubai - United Arab Emirates",exploreeducation.ae,+971 4 396 9000,154,4.8,Educational institution, · Opens 9am Mon
Bradford Learning Portal,"UAE 35482, Standard Chartered Tower - Level 5 Emaar Square - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates",bradfordlearning-global.com,+971 54 522 1185,98,4.9,Educational institution, · Opens 8am Mon
Maths tutor for UK curriculum,Wadi Al Safa 3 - Al Barari - Dubai - United Arab Emirates,dxbtutor2022.blogspot.com,+971 50 334 4796,,,Education center, · Opens 9am
SelexIQ Education Support Services,Yes Business Tower - 710 - Al Barsha First - Dubai - United Arab Emirates,selexiq.com,+971 4 269 0587,8.0,5.0,Educational institution, · Opens 10am
The Indian Academy Dubai,"Beirut St., Muhaisnah 4, Al Qusais Industria Area Dubai - Dubai - United Arab Emirates",indianacademydubai.com,+971 4 264 6746,19.0,2.9,Educational institution, · Opens 7:30am Mon
GEMS Education Corporate Office,Gems Education Building - Sheikh Zayed Rd - Al Qouz Ind.third - Al Quoz - Dubai - United Arab Emirates,gemseducation.com,+971 4 573 5000,71.0,3.6,Educational institution, · Opens 7:30am Mon
Wizdom Training IELTS/PTE/OET/English,Kuwait St - Al Mankhool - Dubai - United Arab Emirates,wizdomtraining.com,+44 7438 572997,3.0,5.0,Tutoring service,
iQe Academy,Metha Plaza Building - 314A - Oud Metha - Dubai - United Arab Emirates,iqeacademy.com,+971 58 178 5782,22.0,4.5,Education center, · Opens 8am Mon
CIOAL TUTORS IGCSE,29 40b St - Al Souq Al Kabeer - Al Fahidi - Dubai - United Arab Emirates,cioaltutors.com,,,,Tutoring service,
Topline Learning International,,,,10.0,4.9,Education center, · Opens 10am
PINNACLE Innovation and Education,"Exit 1 - Office Spaces 405 & 406, Al Nasr Commercial Plaza, 10th Street - Metro Station - Oud Metha - Dubai - United Arab Emirates",pinnacleeducation.ae,+971 4 832 8855,114.0,4.8,Educational institution, · Opens 9am
CIOAL TUTORS IGCSE Physics,68W5+VQF - Al Karama - Dubai - United Arab Emirates,cioaltutors.com,,,,Tutoring service,
Career Planet Education,Platinum Business Centre - Office # 1101 - 11th Baghdad Street - near NMC Hospital - Al Nahda Second - Al Nahda - Dubai - United Arab Emirates,careerplanetedu.com,+971 4 835 7252,29.0,4.9,Education center, · Opens 9am
Spoton Training Institute,Al safa-C Building - Office: 104 - Khalid Bin Al Waleed Rd - next to Max Burjuman Metro Station Exit1 - Bur Dubai - Umm Hurair 1 - Dubai - United Arab Emirates,spotoninstitute.com,+971 4 250 6344,910,4.8,Educational institution, · Opens 9am
Meccademia Education Institute,"1607, Fahidi Heights (Old Musalla Tower - near Sharaf DG Metro - Bur Dubai - Dubai - United Arab Emirates",meccademia.com,+971 50 285 9083,54,4.7,Coaching Center, · Opens 10:30am
"HERC Health, Exercise & Research Center","Mina Rashid, Dubai Maritime City, Dubai, UAE Mina Rashid, Dubai Maritime - Dubai - United Arab Emirates",hercme.com,+971 52 513 4794,173,4.9,Education center, · Opens 9am Mon
Extreme Fitness Academy,FNC Building - Khalid Bin Al Waleed Rd - Bur Dubai - Dubai - United Arab Emirates,extremefitnessacademy.com,+971 50 489 4947,41,4.8,Education center, · Opens 9am
"Meccademia Education Institute - Engineering, IIT JEE & Neet Medical Coaching Classes Dubai","209, Karama Centre Next to Municipality Karama Centre - Dubai - United Arab Emirates",meccademia.com,+971 4 337 0568,116,4.2,Coaching Center, · Opens 10:30am
Safal Training Academy,"104, Habib Bank AG Zurich Al Jawarah Building, Bank Street - Bur Dubai Next to ADCB Bank - Al Mankhool - Dubai - United Arab Emirates",amarmirgheducation.com,+971 55 504 2878,62,4.8,Educational institution, · Opens 10:30am
Zabeel Institute,"Between RAK Bank and Day to Day - Building, Suite # M-12 - Al Khallafi - Umm Hurair 1 - Dubai - United Arab Emirates",zabeelinstitute.ae,+971 600 524448,4662,4.7,Educational institution, · Opens 8am
Zahara Education,Shaqaaq Tower - Office 301 - Al Taawun St - Al Khalidiya District - Sharjah - United Arab Emirates,zaharaeducation.com,+971 54 763 3559,145,4.6,Educational institution,Closed · Opens 11am Mon
askIITians,Mustafwi Business Center - Dubai - United Arab Emirates,askiitians.com,+971 52 786 5210,3,3.7,Education center, · Opens 12pm Mon
SAHARA STANDARDIZED TRAINING INSTITUTE,"park - 1st floor, office no-105, Abdullah Zaiba building no:167 - opposite to Al Nahda - Sharjah - United Arab Emirates",saharatutors.com,+971 50 833 2405,27.0,5.0,Educational institution, · Opens 9am
Maths IB GCSE A levels,Majaz 3 - 145 Corniche St - Al Majaz 3 - Al MajazAl - Sharjah - United Arab Emirates,,+971 56 432 4084,,,Private Tutor,
alpha tutor UAE,Sharjah Research Technology and Innovation Park - University City - Sharjah - United Arab Emirates,,+971 52 578 2057,17.0,4.9,Educational institution, · Opens 6am
"Arbab Academy (Best Tutor for Accounting, Business, Economics and Maths",near Mega Mall - Bu Danig - Hay Al Qasimiah - Sharjah - United Arab Emirates,,+971 55 293 5467,6.0,5.0,Education center, · Opens 9am
BIG Education Institute,Sahara Healthcare City - 3rd Floor - 3rd St - Hay Al Nahda - Al Nahda - Sharjah - United Arab Emirates,brittsimperial.com,+971 50 562 6707,312.0,4.4,Educational institution, · Opens 9:30am
First class training center,"Office 105, Building 3989 Al Taryam W1 building, Muweilah commercial - Sharjah - United Arab Emirates",firstctc.ae,+971 50 325 6209,56.0,4.2,Educational institution, · Opens 9am
PhysicsWallah Gulf | Knowledge Planet - Nahda Sharjah,"Bldg, Al zarooni - Office No. M05, Block A - behind Ansar Mall - Hay Al Nahda - Sharjah - United Arab Emirates",myknowledgeplanet.com,+971 54 531 5546,35.0,4.7,Educational institution, · Opens 12pm
Knowledge Planet | PhysicsWallah Gulf (Al Nahda Dubai),"Platinum Business Centre - Office 207, 2nd Floor - Baghdad Street - Al Nahda First - Dubai - United Arab Emirates",,+971 50 103 0454,120.0,4.5,Educational institution, · Opens 12pm
ASAP TUTOR,89QQ+6XX - Faisal 1 - Building Office No: 503 King Faisal St - above Suzuki and Kulcha King Showrooms - Al Nad - Hay Al Qasimiah - Sharjah - United Arab Emirates,asaptutor.ae,+971 6 544 4700,120.0,4.8,Educational institution, · Opens 9am
Petra Adwoa Training Institute,University City Rd - Muwaileh Commercial - Industrial Area - Sharjah - United Arab Emirates,patinstitute.ae,+971 6 525 8811,76.0,4.9,Educational institution, · Opens 12pm Mon
MRS PRIVATE TUTOR,Al Taawun St - Al Mamzar - Sharjah - United Arab Emirates,mrsprivatetutor.com,+971 58 585 9016,13.0,4.8,Educational institution, · Opens 9am
Scholars Training Institute,"50001 - Scholars Training Institiute 1501-1502, The First Tower Alkhan street - Corniche St - Al Majaz 3 - Sharjah - United Arab Emirates",scholarstraininginstitute.com,+971 52 218 8477,61.0,4.5,Education center, · Opens 10am Mon
CIOAL TUTORS gcses igcse,79CJ+G93 - Al Twar 5 - Dubai - United Arab Emirates,cioaltutors.com,,,,Tutoring service,
Roshin Education Center,647 6th floor - Al Ghuwair - Hay Al Gharb - Sharjah - United Arab Emirates,roshin.ae,+971 6 804 7451,64.0,4.3,Education center, · Opens 9am
Career Launcher Al Nahda,"Platinum Business Centre, 7 Baghdad Street - 1107 11th Floor - Dubai - United Arab Emirates",careerlauncheruae.com,+971 4 238 3377,25,4.6,Educational institution, · Opens 10:30am
PhysicsWallah Gulf | Knowledge Planet - Al Qusais,Al Qusais Plaza - Office No - 311 Damascus Street - near Dubai Residential Oasis - Al Qusais Ind. Second - Dubai - United Arab Emirates,pwgulf.com,+971 54 531 5546,142,4.7,Coaching Center, · Opens 12pm
ALLEN Overseas (Sharjah Center),Mezzanine Floor Dubai Islamic Bank Building - Al Zahra'a St - Al Nad - Hay Al Qasimiah - Sharjah - United Arab Emirates,allenoverseas.com,+971 56 177 2347,122,4.8,Coaching Center, · Opens 11am
ALLEN Overseas (Sharjah Center),Mezzanine Floor Dubai Islamic Bank Building - Al Zahra'a St - Al Nad - Hay Al Qasimiah - Sharjah - United Arab Emirates,allenoverseas.com,+971 56 177 2347,122,4.8,Coaching Center, · Opens 11am
Aljeel Academy,Platinum Business Centre - Office No - 909 Baghdad Street - Al Nahda Second - Al Nahda - Dubai - United Arab Emirates,aljeelacademy.com,+971 56 575 8720,71,4.9,Educational institution, · Opens 10am
Mas First Institute LLC,Sundos building - OFFICE-108 - 2 Al Nahda St - Al Nahda Second - Al Nahda - Dubai - United Arab Emirates,masfirstinstitute.com,+971 55 315 7686,238,4.9,Educational institution, · Opens 10am
SATisfactory Education | Online SAT Coaching UAE,"Research Technology & Innovation Park - B49-083, Block B - University City - Sharjah - United Arab Emirates",satisfactoryedu.com,+971 56 858 1883,92,4.9,Test preparation center, · Opens 11am
"​Score Plus – The Princeton Review | Lingua Plus, Sharjah","Al Durrah Tower - Office No: 1202, 12th Floor - Corniche St - next to Al Fardan Center Buhaira - Sharjah - United Arab Emirates",princetonreviewme.com,+971 6 556 2227,65,4.8,Education center, · Opens 10am
UniHawk Global – Sharjah (IELTS UCAT SAT GMAT GRE Courses Sharjah),"Tabarak Tower - Office No 01, 13th Floor - Al Mamzar - Sharjah - United Arab Emirates",unihawk.com,+971 52 496 7336,14,5.0,Educational consultant, · Opens 9am Mon
Good Shepherd Training Institute,"Al Qusais 1, Al Mozna Building, Unit 221 - Dubai - United Arab Emirates",,+971 50 964 6683,14,4.9,Education center, · Opens 8am Mon
Excelencia Institute Al Nahda Branch,101 Al Nahda St - Al Qusais - Al Qusais 1 - Dubai - United Arab Emirates,,+971 4 396 3637,18,4.6,Education center, · Opens 10:30am Mon
